x	y
666.1	515.8
666.1	515.8
666.1	515.9
666.1	515.9
666.1	515.8
666.1	515.5
666.1	515.1
666.1	514.9
666.1	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
665.9	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.0	514.9
666.1	514.9
666.0	514.9
666.1	514.9
626.1	515.7
625.9	515.8
625.3	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.1	515.9
625.0	515.9
625.0	515.9
625.1	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
624.9	515.9
624.9	515.9
624.9	515.9
624.7	515.9
624.7	515.9
624.5	515.9
624.5	515.9
624.2	515.9
624.2	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.1	515.9
624.6	515.9
624.7	515.9
624.9	515.9
625.0	515.9
625.0	515.9
625.0	515.9
625.0	515.9
583.1	514.9
583.1	515.1
583.1	515.2
583.0	515.5
583.0	515.9
583.0	515.9
583.0	515.9
583.0	515.9
583.0	515.9
583.0	515.8
582.9	515.7
582.9	515.7
582.6	515.8
582.5	515.9
582.2	515.8
582.5	515.7
582.1	515.6
582.1	515.3
582.1	515.7
582.1	515.6
582.1	515.4
582.1	515.3
582.1	515.3
582.1	515.3
582.1	515.0
582.1	515.0
582.1	514.9
582.1	515.1
582.1	515.1
582.1	514.9
582.1	515.0
582.1	514.9
582.1	514.9
