x	y
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
510.9	516.9
510.9	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
511.0	516.9
